year,title,papers,paper_data
2019,UNSUPERVISED CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE VIDEO FRAME INTERPOLATION WITH INTEGRATION OF MOTION COMPONENTS,['https://www.semanticscholar.org/paper/UNSUPERVISED-CONVOLUTIONAL-NEURAL-NETWORKS-FOR-WITH-Nguyen-Lee/d005cfc6f0aa90d302891c3e003ffa1972a54446'],[{'Citations': 0}]
2019,Compositional GAN: Learning Conditional Image Composition,['https://www.semanticscholar.org/paper/Compositional-GAN%3A-Learning-Conditional-Image-Azadi-Pathak/d49fe11667eaaa8d52d149c7521f6705162642f5'],[{'Citations': 21}]
2019,PolyCNN: Learning Seed Convolutional Filters,['https://www.semanticscholar.org/paper/PolyCNN%3A-Learning-Seed-Convolutional-Filters-Juefei-Xu-Boddeti/1b21bee0946e7b7dcd7c65398242f4bd46844836'],[{'Citations': 0}]
2019,A Main/Subsidiary Network Framework for Simplifying Binary Neural Networks,['https://www.semanticscholar.org/paper/A-Main%2FSubsidiary-Network-Framework-for-Simplifying-Xu-Dong/afa50f7f19f88348560b4d06d9e1360d05a92111'],[{'Citations': 4}]
2019,A Teacher Student Network For Faster Video Classification,['https://www.semanticscholar.org/paper/A-Teacher-Student-Network-For-Faster-Video-Bhardwaj-Srinivasan/b5f9d5be7561bb6eacee9012275b17c75696c388'],[{'Citations': 0}]
2019,Data Interpretation and Reasoning Over Scientific Plots,['https://www.semanticscholar.org/paper/Data-Interpretation-and-Reasoning-Over-Scientific-Ganguly-Methani/78ceab2d4b71dfef383be2932c57a61450bd588b'],[{'Citations': 0}]
2019,Logit Regularization Methods for Adversarial Robustness,['https://www.semanticscholar.org/paper/Logit-Regularization-Methods-for-Adversarial-Summers-Dinneen/c77f752f2f3cd1ad0d7157653c20df110acefb3d'],[{'Citations': 1}]
2019,Feature Matters: A Stage-by-Stage Approach for Task Independent Knowledge Transfer,['https://www.semanticscholar.org/paper/Feature-Matters%3A-A-Stage-by-Stage-Approach-for-Task-Gao-Shen/b54461d71999a0dc72163ec70ae8c85eb0dc5330'],[{'Citations': 0}]
2019,Parametrizing Fully Convolutional Nets with a Single High-Order Tensor,['https://www.semanticscholar.org/paper/T-Net%3A-Parametrizing-Fully-Convolutional-Nets-With-Kossaifi-Bulat/b03c510f8e05833fbce212d95158f105dc9f79fd'],[{'Citations': 10}]
2019,Online abstraction with MDP homomorphisms for Deep Learning,['https://www.semanticscholar.org/paper/Online-abstraction-with-MDP-homomorphisms-for-Deep-Biza-Platt/2c3f24819b3498d033b48581955b5a208fc7d959'],[{'Citations': 2}]
2019,Generalized Label Propagation Methods for Semi-Supervised Learning,['https://www.semanticscholar.org/paper/Generalized-Label-Propagation-Methods-for-Learning-Li-Wu/06f5d7b60a9efc0c1ddb37377cfeee8e87ef351f'],[{'Citations': 1}]
2019,Rethinking Knowledge Graph Propagation for Zero-Shot Learning,['https://www.semanticscholar.org/paper/Rethinking-Knowledge-Graph-Propagation-for-Learning-Kampffmeyer-Chen/8f61c28cd63372e03e303714f3cb726ad79a6d62'],[{'Citations': 53}]
2019,A Unified View of Deep Metric Learning via Gradient Analysis,['https://www.semanticscholar.org/paper/A-Unified-View-of-Deep-Metric-Learning-via-Gradient-Wang-Han/64efe1f5d4e21a0371e90b9faeb8756c950e915f'],[{'Citations': 0}]
2019,Learning Spatio-Temporal Representations Using Spike-Based Backpropagation,['https://www.semanticscholar.org/paper/Learning-Spatio-Temporal-Representations-Using-Roy-Panda/ec87d707236e7dd966dcf9d162602ceae7d47d2e'],[{'Citations': 0}]
2019,Cosine similarity-based Adversarial process,['https://www.semanticscholar.org/paper/Cosine-similarity-based-adversarial-process-Heo-Jung/a11fedfe2c887c56d4e25ebdcbf1f80f4d5b2306'],[{'Citations': 1}]
2019,Low-Cost Parameterizations of Deep Convolutional Neural Networks,['https://www.semanticscholar.org/paper/Low-Cost-Parameterizations-of-Deep-Convolution-Treister-Ruthotto/56a724dfff4b247ad0680c10d9a42a7d80c4cdad'],[{'Citations': 6}]
2019,Engaging Image Captioning Via Personality,['https://www.semanticscholar.org/paper/Engaging-Image-Captioning-via-Personality-Shuster-Humeau/c677000c9078fdff8622be15a37db7d4945f36c2'],[{'Citations': 27}]
2019,Spectral Convolutional Networks on Hierarchical Multigraphs,['https://www.semanticscholar.org/paper/Spectral-Convolutional-Networks-on-Hierarchical-Knyazev-Lin/7ca8f4985a1fa501f3019564d53f59039fb2d8e5'],[{'Citations': 0}]
2019,MCTSBug: Generating Adversarial Text Sequences via Monte Carlo Tree Search and Homoglyph Attack,['https://www.semanticscholar.org/paper/MCTSBug%3A-Generating-Adversarial-Text-Sequences-via-Gao-Lanchantin/91431322204d4a18df541a8c5f46fdeafd23b95b'],[{'Citations': 1}]
2019,Bamboo: Ball-Shape Data Augmentation Against Adversarial Attacks from All Directions,['https://www.semanticscholar.org/paper/Bamboo%3A-Ball-Shape-Data-Augmentation-Against-from-Yang-Zhang/21d348b55bb2e705e81255b01727ecb7cb476799'],[{'Citations': 2}]
2019,Learning Grounded Sentence Representations by Jointly Using Video and Text Information,['https://www.semanticscholar.org/paper/Learning-Grounded-Sentence-Representations-by-Using-Bordes-Zablocki/e033b25f12c14c21b646d4c04ef32946f380078f'],[{'Citations': 0}]
2019,Isolating effects of age with fair representation learning when assessing dementia,['https://www.semanticscholar.org/paper/Isolating-effects-of-age-with-fair-representation-Zhu-Novikova/c49d67971fbae748cb7e18ae1a953cd4f7221c51'],[{'Citations': 2}]
2019,Diagnosing Language Inconsistency in Cross-Lingual Word Embeddings,['https://www.semanticscholar.org/paper/Diagnosing-Language-Inconsistency-in-Cross-Lingual-Fujinuma-Boyd-Graber/36ea550d7eb930e78a71bceb44229a1d04ee3418'],[{'Citations': 0}]
2019,Bilingual-GAN: Neural Text Generation and Neural Machine Translation as Two Sides of the Same Coin,['https://www.semanticscholar.org/paper/Bilingual-GAN%3A-Neural-Text-Generation-and-Neural-as-Rashid-Do-Omri/0569208df74c467cb687baddd0a00b60a54cdbb0'],[{'Citations': 0}]
2019,"Learning Robust, Transferable Sentence Representations for Text Classification",['https://www.semanticscholar.org/paper/Learning-Robust%2C-Transferable-Sentence-for-Text-Ahmad-Bai/0c6602439185ad8268ebcd99d1ac4afd66fb4c7b'],[{'Citations': 0}]
2019,Empirical observations on the instability of aligning word vector spaces with GANs,['https://www.semanticscholar.org/paper/Empirical-observations-on-the-instability-of-word-Hartmann-Kementchedjhieva/44e56ec152d0468c346456aa7a633609e0c90efc'],[{'Citations': 0}]
2019,Low-Rank Matrix Factorization of LSTM as Effective Model Compression,['https://www.semanticscholar.org/paper/Low-Rank-Matrix-Factorization-of-LSTM-as-Effective-Winata-Madotto/3f66552c8d93d1dc9ab40ad932c0d3a841824c55'],[{'Citations': 3}]
2019,Combining Global Sparse Gradients with Local Gradients,['https://www.semanticscholar.org/paper/Combining-Global-Sparse-Gradients-with-Local-Aji-Heafield/d6fdef52d1803aa378ba13b522b73e679afc86c7'],[{'Citations': 0}]
2019,KNOWLEDGE DISTILL VIA LEARNING NEURON MANIFOLD,['https://www.semanticscholar.org/paper/KNOWLEDGE-DISTILL-VIA-LEARNING-NEURON-MANIFOLD-Tao-Xia/22b8ef274659c3f038aa26bd42e542c03ef3d598'],[{'Citations': 0}]
2019,Adversarial Decomposition of Text Representation,['https://www.semanticscholar.org/paper/Adversarial-Decomposition-of-Text-Representation-Romanov-Rumshisky/80e913e4a2d52cf024a0aaebbe0f4246bf94c26d'],[{'Citations': 9}]
2019,How to learn (and how not to learn) multi-hop reasoning with memory networks,['https://www.semanticscholar.org/paper/How-to-learn-(and-how-not-to-learn)-multi-hop-with-Chen-Durrett/24c4fe42582a89896a8a3db0884677f4c155cf2b'],[{'Citations': 1}]
2019,Learning to Attend On Essential Terms: An Enhanced Retriever-Reader Model for Open-domain Question Answering,"['https://www.semanticscholar.org/paper/Learning-to-Attend-On-Essential-Terms%3A-An-Enhanced-Ni-Zhu/94b0f87dddc59e0d1aa2c5d30748abfc0aaf19e0', 'https://www.semanticscholar.org/paper/Learning-to-Attend-On-Essential-Terms%3A-An-Enhanced-Ni-Zhu/9cd3ea5cbbe0716fe19ff750940222cdedb22fc8']","[{'Citations': 11}, {'Citations': 9}]"
2019,The Missing Ingredient in Zero-Shot Neural Machine Translation,['https://www.semanticscholar.org/paper/The-Missing-Ingredient-in-Zero-Shot-Neural-Machine-Arivazhagan-Bapna/0c677d362b8668ebdd5c10b07657752b07947b13'],[{'Citations': 22}]
2019,Iterative Binary Decisions,['https://www.semanticscholar.org/paper/Iterative-Binary-Decisions-Alaniz-Akata/0c766053218c128b93e8c2812e3b29442e5b6b3c'],[{'Citations': 0}]
2019,What Is in a Translation Unit?  Comparing Character and Subword Representations Beyond Translation,['https://www.semanticscholar.org/paper/What-Is-in-a-Translation-Unit-Comparing-Character-Durrani-Dalvi/ce3af95d51355eb93b0e1ab9a5bf4fb18ce311d5'],[{'Citations': 4}]
2019,Robust Text Classifier on Test-Time Budgets,"['https://www.semanticscholar.org/paper/Robust-Text-Classifier-on-Test-Time-Budgets-Parvez-Bolukbasi/ca68b4a21db7aee79057ee74cd226073e8878da7', 'https://www.semanticscholar.org/paper/Building-a-Robust-Text-Classifier-on-a-Test-Time-Parvez-Bolukbasi/7fea850fa17fa199ff65b859cf84564a1c903562']","[{'Citations': 0}, {'Citations': 0}]"
2019,Hiding Objects from Detectors: Exploring Transferrable Adversarial Patterns,['https://www.semanticscholar.org/paper/Hiding-Objects-from-Detectors%3A-Exploring-Patterns-Long-Fu/8e9f5ca2da48417b7cd57b1babb8bf8616791e85'],[{'Citations': 0}]
2019,Unsupervised Latent Tree Induction with Deep Inside-Outside Recursive Auto-Encoders ,['https://www.semanticscholar.org/paper/Unsupervised-Latent-Tree-Induction-with-Deep-Drozdov-Verga/0053f75b7053f43b9787a9955426281e672b147b'],[{'Citations': 23}]
2019,Tangent-Normal Adversarial Regularization for Semi-supervised Learning,['https://www.semanticscholar.org/paper/Tangent-Normal-Adversarial-Regularization-for-Yu-Wu/9f9b21270c4b659a0dbf2f9a25c223bd97aedc99'],[{'Citations': 10}]
2019,Answer-based Adversarial Training for Generating Clarification Questions,['https://www.semanticscholar.org/paper/Answer-based-Adversarial-Training-for-Generating-Rao-Daum%C3%A9/9e2339e09e4537b0fcb7922f10851d970bd81c5e'],[{'Citations': 16}]
2019,IncSQL: Training Incremental Text-to-SQL Parsers with Non-Deterministic Oracles,['https://www.semanticscholar.org/paper/IncSQL%3A-Training-Incremental-Text-to-SQL-Parsers-Shi-Tatwawadi/8751bf53c5f32db3e040516433a49b991aba62ac'],[{'Citations': 27}]
2019,Mitigating Bias in Natural Language Inference Using Adversarial Learning,['https://www.semanticscholar.org/paper/Mitigating-Bias-in-Natural-Language-Inference-Using-Belinkov-Poliak/a3d2271bd360f9e5c2ac5a24e5e3945329cc1ca8'],[{'Citations': 1}]
2019,Multi-Modal Generative Adversarial Networks for Diverse Datasets,['https://www.semanticscholar.org/paper/Multi-Modal-Generative-Adversarial-Networks-for-Ben-Yosef-Weinshall/09fa077bd29569f4005eebd129201b7bb0109f22'],[{'Citations': 0}]
2019,Few-Shot Learning by Exploiting Object Relation,['https://www.semanticscholar.org/paper/Few-Shot-Learning-by-Exploiting-Object-Relation-Long-Wang/8575d5a55dbc57cec06913d2a0977a43c6af2dec'],[{'Citations': 1}]
2019,CrystalGAN: Learning to Discover Crystallographic Structures with Generative Adversarial Networks,['https://www.semanticscholar.org/paper/CrystalGAN%3A-Learning-to-Discover-Crystallographic-Nouira-Crivello/1c966fb858142946f55d123b8adbd5e0d87a3a05'],[{'Citations': 10}]
2019,Exploration using Distributional RL and UCB,['https://www.semanticscholar.org/paper/Exploration-using-Distributional-RL-and-UCB-Mavrin-Yao/241e8964bb791564687797ab6612f3595bb7a3cf'],[{'Citations': 0}]
2019,The Body is not a Given: Joint Agent Policy Learning and Morphology Evolution,['https://www.semanticscholar.org/paper/The-Body-is-Not-a-Given%3A-Joint-Agent-Policy-and-Banarse-Bachrach/60207969bdffbffb2b69c37d7d25231867a8f356'],[{'Citations': 3}]
2019,From Adversarial Training to Generative Adversarial Networks,['https://www.semanticscholar.org/paper/From-Adversarial-Training-to-Generative-Adversarial-Liu-Hsieh/daf74b54c1987d0a374a2adfa7fbeb613f4e15d8'],[{'Citations': 4}]
2019,An Efficient Network for Predicting Time-Varying Distributions,['https://www.semanticscholar.org/paper/An-Efficient-Network-for-Predicting-Time-Varying-Kou-Lee/d3e8ea44ab5edb0a6894a414411c3de8954aab7b'],[{'Citations': 1}]
2019,Quantile Regression Reinforcement Learning with State Aligned Vector Rewards,['https://www.semanticscholar.org/paper/Quantile-Regression-Reinforcement-Learning-with-Richter-Wattenhofer/79803aa48e5847a3c3460753264b580be444432f'],[{'Citations': 0}]
2019,Fatty and Skinny: A Joint Training Method of Watermark Encoder and Decoder,['https://www.semanticscholar.org/paper/Fatty-and-Skinny%3A-A-Joint-Training-Method-of-and-Hong-Mohammadi/51d7cca6319eeab85f449d01236f395b6994380e'],[{'Citations': 0}]
2019,Transfer Learning via Unsupervised Task Discovery for Visual Question Answering,['https://www.semanticscholar.org/paper/Transfer-Learning-via-Unsupervised-Task-Discovery-Noh-Kim/b80f128830114896df94999b4104cb75408e657e'],[{'Citations': 4}]
2019,Confidence Calibration in Deep Neural Networks through Stochastic Inferences,['https://www.semanticscholar.org/paper/Learning-for-Single-Shot-Confidence-Calibration-in-Seo-Seo/ebd6264650306e6fb3b7ae9ab60fef1c77d2f013'],[{'Citations': 21}]
2019,Noise-Tempered Generative Adversarial Networks,['https://www.semanticscholar.org/paper/Noise-Tempered-Generative-Adversarial-Networks-Jenni-Favaro/b1b6065fb735c21cb7a4235db3571158256b5956'],[{'Citations': 2}]
2019,SpaMHMM: Sparse Mixture of Hidden Markov Models for Graph Connected Entities,['https://www.semanticscholar.org/paper/SpaMHMM%3A-Sparse-Mixture-of-Hidden-Markov-Models-for-Pernes-Cardoso/6e3eeabefec3faa596dafd613de1c4cdd207fefe'],[{'Citations': 1}]
2019,Self-Binarizing Networks,['https://www.semanticscholar.org/paper/Self-Binarizing-Networks-Lahoud-Achanta/9f23a70efd290c18f04dfaa9210577f65c8fcf60'],[{'Citations': 5}]
2019,UNSUPERVISED MONOCULAR DEPTH ESTIMATION WITH CLEAR BOUNDARIES,['https://www.semanticscholar.org/paper/UNSUPERVISED-MONOCULAR-DEPTH-ESTIMATION-WITH-CLEAR-Hu-Luo/249e513e37487aab5595dadf93aeedd049fb4488'],[{'Citations': 0}]
2019,Object-Contrastive Networks: Unsupervised Object Representations,['https://www.semanticscholar.org/paper/Object-Contrastive-Networks%3A-Unsupervised-Object-Pirk-Khansari/c18dea71e122ba189fc2040786cc218575c17295'],[{'Citations': 0}]
2019,TFGAN: Improving Conditioning for Text-to-Video Synthesis,['https://www.semanticscholar.org/paper/TFGAN%3A-Improving-Conditioning-for-Text-to-Video-Balaji-Min/dfe3b8b3c88a998267792da07867fbe1fc655667'],[{'Citations': 2}]
2019,Learning Graph Decomposition,['https://www.semanticscholar.org/paper/Learning-Graph-Decomposition-Song-Andres/aa36805662f54369bd9632f341f0aeeed11bf530'],[{'Citations': 0}]
2019,Logically-Constrained Neural Fitted Q-iteration,"['https://www.semanticscholar.org/paper/Logically-Constrained-Neural-Fitted-Q-Iteration-Hasanbeig-Abate/a5c4bf499da8a0c81b291ba37501d05b651b58e3', 'https://www.semanticscholar.org/paper/Logically-Constrained-Neural-Fitted-Q-iteration-Hasanbeig-Abate/afc6b9e4c8a50d0d2ab2bd8fca12a7f17fa885bd']","[{'Citations': 11}, {'Citations': 0}]"
2019,Distributed Deep Policy Gradient for Competitive Adversarial Environment,['https://www.semanticscholar.org/paper/Distributed-Deep-Policy-Gradient-for-Competitive-Osipychev-Chowdhary/2ea5d6f45cca7b9ac6185a59d5fad49ae64cabfb'],[{'Citations': 0}]
2019,Found by NEMO: Unsupervised Object Detection from Negative Examples and Motion,['https://www.semanticscholar.org/paper/Found-by-NEMO%3A-Unsupervised-Object-Detection-from-Jonschkowski/912e9fb1ae2d98958dee0dc81816a86610fb8299'],[{'Citations': 1}]
2019,Visualizing and Discovering Behavioural Weaknesses in Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Visualizing-and-Discovering-Behavioural-Weaknesses-Rupprecht-Ibrahim/4b0ae6bf28a0583b80ad0ebdb44349e19253a710'],[{'Citations': 2}]
2019,Estimating Heterogeneous Treatment Effects Using Neural Networks With The Y-Learner,['https://www.semanticscholar.org/paper/Estimating-Heterogeneous-Treatment-Effects-Using-Stadie-K%C3%BCnzel/0b6b3d8a855fda6355b387766206e081914ba368'],[{'Citations': 1}]
2019,Generative Model For Material Irradiation Experiments Based On Prior Knowledge And Attention Mechanism,['https://www.semanticscholar.org/paper/Generative-Model-For-Material-Irradiation-Based-On-Luo-Liu/ce940732d54c4785f0b4a03635aac21049687296'],[{'Citations': 0}]
2019, Generating Text through Adversarial Training using Skip-Thought Vectors,['https://www.semanticscholar.org/paper/Generating-Text-through-Adversarial-Training-using-Siddiqui/ec79471640f3fcf5456a52625ad78889837304aa'],[{'Citations': 2}]
2019,Evolving intrinsic motivations for altruistic behavior,['https://www.semanticscholar.org/paper/Evolving-intrinsic-motivations-for-altruistic-Wang-Hughes/1bd1f81ea6c940bafc4999a99a7616288ba006bd'],[{'Citations': 16}]
2020,RefNet: Automatic Essay Scoring by Pairwise Comparison,['https://www.semanticscholar.org/paper/RefNet%3A-Automatic-Essay-Scoring-by-Pairwise-Li-Zhou/7c522c83b4048ef19b93b2ca48c7ba4d4ea6d2d6'],[{'Citations': 0}]
2020,Topology of deep neural networks,['https://www.semanticscholar.org/paper/Topology-of-deep-neural-networks-Naitzat-Zhitnikov/b11b6538b5364901c17d41ef075c4c69094e4564'],[{'Citations': 0}]
2020,Provable Convergence and Global Optimality  of Generative Adversarial Network,['https://www.semanticscholar.org/paper/Provable-Convergence-and-Global-Optimality-of-Cai-Yang/a3bd94fe25d3feb3374ae68497c7bef87be435e2'],[{'Citations': 0}]
2020,Improving Irregularly Sampled Time Series Learning with Dense Descriptors of Time,['https://www.semanticscholar.org/paper/Improving-Irregularly-Sampled-Time-Series-Learning-Sousa-Pereira/922f8ab684fafcfc7537266e45673136281c7d8e'],[{'Citations': 0}]
2020,Understanding and Training Deep Diagonal Circulant Neural Networks,['https://www.semanticscholar.org/paper/Understanding-and-Training-Deep-Diagonal-Circulant-Araujo-N%C3%A9grevergne/38dfaa16bfdafe2e95f24dbf0bb3291012a408ce'],[{'Citations': 0}]
2020,DP-LSSGD: An Optimization Method to Lift the Utility in Privacy-Preserving ERM,['https://www.semanticscholar.org/paper/DP-LSSGD%3A-An-Optimization-Method-to-Lift-the-in-ERM-Wang-Gu/892b0be7f65c29f580cf4fb74711c3d4e3ce28e9'],[{'Citations': 0}]
2020,On Global Feature Pooling for Fine-grained Visual Categorization,['https://www.semanticscholar.org/paper/On-Global-Feature-Pooling-for-Fine-grained-Visual-Guo-Anderson/42a3395a3f0b3eae4e34db2acbb6cd7be5c65caf'],[{'Citations': 0}]
2020,Quantifying Exposure Bias for Neural Language Generation,['https://www.semanticscholar.org/paper/Quantifying-Exposure-Bias-for-Neural-Language-He-Zhang/cbb1a1a80d26043867bb8bf2b7227c9139710ee5'],[{'Citations': 5}]
2020,Mix-review: Alleviate Forgetting in the Pretrain-Finetune Framework for Neural Language Generation Models,['https://www.semanticscholar.org/paper/Mix-review%3A-Alleviate-Forgetting-in-the-Framework-He-Liu/cc16ede128347e0bd0486941680082c2988ddf0e'],[{'Citations': 2}]
2020,INVOCMAP: MAPPING METHOD NAMES TO METHOD INVOCATIONS VIA MACHINE LEARNING,['https://www.semanticscholar.org/paper/INVOCMAP%3A-MAPPING-METHOD-NAMES-TO-METHOD-VIA-Phan-Jannesari/d9319668430758f65701de4f198c4ad345f09211'],[{'Citations': 0}]
2020,Fix-Net: pure fixed-point representation of deep neural networks,['https://www.semanticscholar.org/paper/Fix-Net%3A-pure-fixed-point-representation-of-deep-Enderich-Timm/36acc5e2b483494958469a3a619df906bcdda994'],[{'Citations': 0}]
2020,Random Partition Relaxation for Training Binary and Ternary Weight Neural Network,['https://www.semanticscholar.org/paper/RPR%3A-Random-Partition-Relaxation-for-Training%3B-and-Cavigelli-Benini/834165039868b0a282cd20596543a8f29b19a5f4'],[{'Citations': 2}]
2020,Emergent Communication in Networked Multi-Agent Reinforcement Learning,['https://www.semanticscholar.org/paper/Emergent-Communication-in-Networked-Multi-Agent-Gupta-Hazra/5cf809cbf2e7ab93fe4065fc6f7698c368f02a06'],[{'Citations': 0}]
2020,Recognizing Plans by Learning Embeddings from Observed Action Distributions,['https://www.semanticscholar.org/paper/Recognizing-Plans-by-Learning-Embeddings-from-Zha-Li/0a201f8ff2882a8843aea855603ecabec8043add'],[{'Citations': 5}]
2020,Cancer homogeneity in single cell revealed by Bi-state model and Binary matrix factorization,['https://www.semanticscholar.org/paper/Cancer-homogeneity-in-single-cell-revealed-by-model-Wan-Chang/b5f53013550b718d8ffeaf6b09b01b11a35f9264'],[{'Citations': 0}]
2020,Residual EBMs: Does Real vs. Fake Text Discrimination Generalize?,['https://www.semanticscholar.org/paper/Residual-EBMs%3A-Does-Real-vs.-Fake-Text-Generalize-Bakhtin-Gross/c0f84c1a62737b3500087f6d75208c55d6afc4f4'],[{'Citations': 0}]
2020,EnsembleNet: A novel architecture for Incremental Learning,['https://www.semanticscholar.org/paper/EnsembleNet%3A-A-novel-architecture-for-Incremental-Harsha-Kalidas/ecde0ca492f31284cfce87c56870edcd7c88ce76'],[{'Citations': 0}]
2020,Dual Sequential Monte Carlo: Tunneling Filtering and Planning in Continuous POMDPs,['https://www.semanticscholar.org/paper/Dual-Sequential-Monte-Carlo%3A-Tunneling-Filtering-in-Wang-Liu/dc338eea606947817d212d4e5d85e026a4519be5'],[{'Citations': 3}]
2020,Fast Bilinear Matrix Normalization via  Rank-1 Update,['https://www.semanticscholar.org/paper/Fast-Bilinear-Matrix-Normalization-via-Rank-1-Yu-Cai/25ad8fd87d8868bc42fc0f79b702a39d6227950e'],[{'Citations': 0}]
2020,Task-Mediated Representation Learning,['https://www.semanticscholar.org/paper/Task-Mediated-Representation-Learning-Bugrov-Sun/cdbd592227bb6148ddfd3a44d05ca4a2cb44d7c2'],[{'Citations': 0}]
2020,Universality Theorems for Generative Models,['https://www.semanticscholar.org/paper/Universality-Theorems-for-Generative-Models-Khrulkov-Oseledets/8204599b228e8d75da2692729a3063cc9bd9192b'],[{'Citations': 1}]
2020,Embodied Language Grounding with Implicit 3D Visual Feature Representations,"['https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-Implicit-3D-Visual-Prabhudesai-Tung/3245f7b672b382d9a122fe1730ae22113d61dbc4', 'https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-3D-Visual-Feature-Prabhudesai-Tung/77e98ae704a70478fb1eea7625f54d103e427a58']","[{'Citations': 3}, {'Citations': 0}]"
2020,Geometry-Aware Visual Predictive Models of Intuitive Physics,['https://www.semanticscholar.org/paper/Geometry-Aware-Visual-Predictive-Models-of-Physics-Tung-Xi-an/55296fad233e1c1c45956fad95ad99d8c1e9e2e1'],[{'Citations': 0}]
2020,PNEN: Pyramid Non-Local Enhanced Networks,['https://www.semanticscholar.org/paper/PNEN%3A-Pyramid-Non-Local-Enhanced-Networks-Zhu-Fang/117acef5ae1fee09435b12057b4f600a12a95b89'],[{'Citations': 0}]
2020,Auto Network Compression with Cross-Validation Gradient,['https://www.semanticscholar.org/paper/Auto-Network-Compression-with-Cross-Validation-Tian-Liu/8b63c43c0966eaaf29bcc7e261df2014d9d97002'],[{'Citations': 0}]
2020,Feature-based Augmentation for Semi-Supervised Learning,['https://www.semanticscholar.org/paper/Feature-based-Augmentation-for-Semi-Supervised-Oh-Park/231251ba65b5e4d2257c132fe2cd76481694e42a'],[{'Citations': 0}]
2020,Capsule Networks without Routing Procedures,['https://www.semanticscholar.org/paper/Capsule-Networks-without-Routing-Procedures-Chen-Li/05c604e44ee8aec8b3b2b062f6bed054efe35b05'],[{'Citations': 1}]
2020,Noisy $\ell^{0}$-Sparse Subspace Clustering on Dimensionality Reduced Data,['https://www.semanticscholar.org/paper/Noisy-%24%5Cell%5E%7B0%7D%24-Sparse-Subspace-Clustering-on-Data-Yang/c81ff5afc41894a550de033d7afd6719641ae9b5'],[{'Citations': 0}]
2020,Side-Tuning: Network Adaptation via Additive Side Networks,['https://www.semanticscholar.org/paper/Side-Tuning%3A-Network-Adaptation-via-Additive-Side-Zhang-Sax/b3d60b4a1622807986efff92fa58e150b9c40567'],[{'Citations': 3}]
2020,Deep Multivariate Mixture of Gaussians for Object Detection under Occlusion,['https://www.semanticscholar.org/paper/Deep-Multivariate-Mixture-of-Gaussians-for-Object-He-Wang/3b2f30db71532e1e1b276529151b9837e77b55a2'],[{'Citations': 0}]
2020,Dynamic Graph Message Passing Networks,['https://www.semanticscholar.org/paper/Dynamic-Graph-Message-Passing-Networks-Zhang-Xu/3827ecf84bc0429b73d9c57a6b2b55e723d4cfba'],[{'Citations': 11}]
2020,POLYNOMIAL ACTIVATION FUNCTIONS,['https://www.semanticscholar.org/paper/POLYNOMIAL-ACTIVATION-FUNCTIONS-Gottemukkula/e5529710a625a32a59dc76bddd6b9086ba18c46e'],[{'Citations': 0}]
2020,CopyCAT: Taking Control of Neural Policies with Constant Attacks,"['https://www.semanticscholar.org/paper/CopyCAT%3A-%3A-Taking-Control-of-Neural-Policies-with-Hussenot-Geist/b4044f9ba81a40a9376cfb61fc0bc53af7643688', 'https://www.semanticscholar.org/paper/CopyCAT%3A-%3A-Taking-Control-of-Neural-Policies-with-Hussenot-Geist/61bdf4409523ca8ead48ee546e8ed0f60681bb05']","[{'Citations': 0}, {'Citations': 0}]"
2020,Influence-aware Memory for Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Influence-aware-Memory-for-Deep-Reinforcement-Suau-Congeduti/e2f15020b5facdb7ea813ab6550e5828a9c4b0ee'],[{'Citations': 0}]
2020,CurricularFace: Adaptive Curriculum Learning Loss for Deep Face Recognition,['https://www.semanticscholar.org/paper/CurricularFace%3A-Adaptive-Curriculum-Learning-Loss-Huang-Wang/71d39d08707e71a6d233e85e864dd9ed4e22110c'],[{'Citations': 4}]
2020,Compressive Hyperspherical Energy Minimization,['https://www.semanticscholar.org/paper/Compressive-Hyperspherical-Energy-Minimization-Lin-Liu/49336767aeb78f73235e4bc215d4ea87f0ec019d'],[{'Citations': 2}]
2020,Testing Robustness Against Unforeseen Adversaries,['https://www.semanticscholar.org/paper/Testing-Robustness-Against-Unforeseen-Adversaries-Kang-Sun/1c5b068ce6dff86bf152312b99f3360456a00faf'],[{'Citations': 21}]
2020,Reasoning-Aware Graph Convolutional Network for Visual Question Answering,['https://www.semanticscholar.org/paper/Reasoning-Aware-Graph-Convolutional-Network-for-Cheng-Yuan/fc85af4aea29b2d2132c173620de656e11d27932'],[{'Citations': 0}]
2020,Text Embedding Bank Module for Detailed Image Paragraph Caption,['https://www.semanticscholar.org/paper/Text-Embedding-Bank-Module-for-Detailed-Image-Shen-Gupta/d2d3adea5f296e6b24908f5af510a7eea19cea64'],[{'Citations': 0}]
2020,FNNP: Fast Neural Network Pruning Using Adaptive Batch Normalization,['https://www.semanticscholar.org/paper/FNNP%3A-Fast-Neural-Network-Pruning-Using-Adaptive-Li-Wu/47de0c67bace10c38b5faed5ef379a2c32755880'],[{'Citations': 0}]
